"","n_obs","iso","harmo"
"1",10,2.73942308425903,0.0236130237579346
"2",50,2.65224957466125,0.107236385345459
"3",150,2.631645154953,0.417398834228516
"4",250,2.60098104476929,0.844217205047607
"5",350,2.7154598236084,1.29446444511414
"6",450,2.6370020866394,1.7276566028595
"7",550,2.57205877304077,2.14144048690796
"8",650,2.47110857963562,3.3076162815094
"9",750,2.49932503700256,5.11514344215393
"10",850,2.5076000213623,5.96949858665466
"11",950,2.41471486091614,6.54737224578857
"12",1050,2.36804690361023,7.11124839782715
"13",1150,2.23358788490295,8.0092080116272
"14",1250,2.22150321006775,9.17000770568848
"15",1350,2.13708944320679,9.59556827545166
"16",1450,2.10024366378784,10.5763841629028
"17",1550,2.06673851013184,11.1118032932281
"18",1650,2.02058129310608,11.8647499084473
"19",1750,1.9327320098877,12.9706759929657
"20",1850,1.9004768371582,12.8531980514526
"21",1950,1.91018166542053,14.0171561717987
