"n_obs","iso","harmo"
10,2.69689412117004,0.0265309810638428
50,2.71596989631653,0.149913597106934
100,2.77600979804993,0.267462110519409
150,2.77536454200745,0.444667530059814
200,2.76858458518982,0.549570655822754
250,2.74747123718262,0.875280475616455
300,2.76164398193359,1.10615377426147
350,2.72192974090576,1.30898432731628
400,2.63451800346375,1.53966612815857
450,2.64924368858337,2.24408459663391
500,2.6832127571106,2.07832851409912
550,2.64316844940186,2.33431158065796
600,2.62689809799194,3.24884757995605
650,2.58150296211243,4.52711477279663
700,2.59391937255859,4.62557411193848
750,2.55727114677429,4.74953022003174
800,2.51207494735718,5.3826352596283
850,2.55276684761047,5.75865163803101
900,2.4770932674408,6.96910653114319
950,2.44535508155823,6.18863706588745
1000,2.38165330886841,7.49587111473083
1050,2.2861469745636,7.1323609828949
1100,2.37405333518982,7.89487557411194
1150,2.2357394695282,8.13341808319092
1200,2.19627199172974,8.22179589271545
1250,2.20183172225952,9.0743284702301
1300,2.11387233734131,9.75718898773193
1350,2.19696745872498,9.71127281188965
1400,2.18809924125671,10.8617681503296
1450,2.09770340919495,10.5913808345795
1500,2.04179930686951,11.1086395740509
1550,1.99928531646729,11.3558870315552
1600,2.06964917182922,11.8491371631622
1650,2.00238509178162,11.4790283679962
1700,1.95486640930176,12.3609781742096
1750,1.8837336063385,12.9074624061584
1800,1.96695966720581,13.2363859653473
1850,1.98738870620728,12.6319544315338
1900,1.90530104637146,13.5250021934509
1950,1.89238924980164,13.9966187953949
2000,1.84220409393311,14.3383093357086
